#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_accra;Accra;Accra;Accra;;Accra;;;;;;;;;x
d_accra_adj;Accran;;accrer;;;;;;;;;;;x
d_abidjan;Abidjan;Abidjan;Abidjan;;Abidjan;;;;;;;;;x
d_abidjan_adj;Abidjanian;;abidjaner;;;;;;;;;;;x
d_adamawa;Adamawa;Adamawa;Adamawa;;Adamawa;;;;;;;;;x
d_adamawa_adj;Adamawan;;adamawer;;;;;;;;;;;x
d_adrar;Adrar;Adrar;Adrar;;Adrar;;;;;;;;;x
d_adrar_adj;Adraran;;adrarer;;;;;;;;;;;x
d_air;Aïr;Aïr;Aïr;;Aïr;;;;;;;;;x
d_air_adj;Aïrian;;aïrer;;;;;;;;;;;x
d_ankobra;Ankobra;Ankobra;Ankobra;;Ankobra;;;;;;;;;x
d_ankobra_adj;Ankobran;;ankobrer;;;;;;;;;;;x
d_aoukar;Aoukar;Aoukar;Aoukar;;Aoukar;;;;;;;;;x
d_aoukar_adj;Aoukarian;;aoukarer;;;;;;;;;;;x
d_assaba;Assaba;Assaba;Assaba;;Assaba;;;;;;;;;x
d_assaba_adj;Assaban;;assaber;;;;;;;;;;;x
d_bafata;Bafatá;Bafatá;Bafatá;;Bafatá;;;;;;;;;x
d_bafata_adj;Bafatáian;;bafatáer;;;;;;;;;;;x
d_bamako;Bamako;Bamako;Bamako;;Bamako;;;;;;;;;x
d_bamako_adj;Bamakian;;bamaker;;;;;;;;;;;x
d_barlavento_islands;Barlavento;Barlavento;Barlavento;;Barlavento;;;;;;;;;x
d_barlavento_islands_adj;Barlaventan;;barlaventer;;;;;;;;;;;x
d_bas_sassandra;Bas Sassandra;Bas Sassandra;Bas Sassandra;;Bas Sassandra;;;;;;;;;x
d_bas_sassandra_adj;Bas Sassandran;;Bas Sassandrer;;;;;;;;;;;x
d_batha;Batha;Batha;Batha;;Batha;;;;;;;;;x
d_batha_adj;Bathan;;bather;;;;;;;;;;;x
d_benoue;Bénoué;Bénoué;Bénoué;;Bénoué;;;;;;;;;x
d_benoue_adj;Bénouéen;;bénouéer;;;;;;;;;;;x
d_bet;Bet;Bet;Bet;;Bet;;;;;;;;;x
d_bet_adj;Beter;;beter;;;;;;;;;;;x
d_bissau;Bissau;Bissau;Bissau;;Bissau;;;;;;;;;x
d_bissau_adj;Bissian;;bisser;;;;;;;;;;;x
d_boke;Boké;Boké;Boké;;Boké;;;;;;;;;x
d_boke_adj;Bokéian;;bokéer;;;;;;;;;;;x
d_bouenza;Bouenza;Bouenza;Bouenza;;Bouenza;;;;;;;;;x
d_bouenza_adj;Bouenzan;;bouenzer;;;;;;;;;;;x
d_campo;Campo;Campo;Campo;;Campo;;;;;;;;;x
d_campo_adj;Campoan;;camper;;;;;;;;;;;x
d_casamance;Casamance;Casamance;Casamance;;Casamance;;;;;;;;;x
d_casamance_adj;Casamancean;;casamancer;;;;;;;;;;;x
d_chari_baguirmi;Chari-Baguirmi;Chari-Baguirmi;Chari-Baguirmi;;Chari-Baguirmi;;;;;;;;;x
d_chari_baguirmi_adj;Chari-Baguirmian;;chari-baguirmier;;;;;;;;;;;x
d_cuvette;Cuvette;Cuvette;Cuvette;;Cuvette;;;;;;;;;x
d_cuvette_adj;Cuvettean;;cuvetter;;;;;;;;;;;x
d_dabola;Dabola;Dabola;Dabola;;Dabola;;;;;;;;;x
d_dabola_adj;Dabolan;;daboler;;;;;;;;;;;x
d_denguele;Denguélé;Denguélé;Denguélé;;Denguélé;;;;;;;;;x
d_denguele_adj;Denguéléian;;denguéléer;;;;;;;;;;;x
d_diffa;Diffa;Diffa;Diffa;;Diffa;;;;;;;;;x
d_diffa_adj;Diffan;;Differ;;;;;;;;;;;x
d_estuaire;Estuaire;Estuaire;Estuaire;;Estuaire;;;;;;;;;x
d_estuaire_adj;Estuairien;;estuairer;;;;;;;;;;;x
d_faranah;Faranah;Faranah;Faranah;;Faranah;;;;;;;;;x
d_faranah_adj;Faranahian;;faranaher;;;;;;;;;;;x
d_fouta_djallon;Fouta Djallon;Fouta Djallon;Fouta Djallon;;Fouta Djallon;;;;;;;;;x
d_fouta_djallon_adj;Djallonké;;djallonker;;;;;;;;;;;x
d_freetown;Freetown;Freetown;Freetown;;Freetown;;;;;;;;;x
d_freetown_adj;Freetowner;;freetowner;;;;;;;;;;;x
d_gambaga;Gambaga;Gambaga;Gambaga;;Gambaga;;;;;;;;;x
d_gambaga_adj;Gambagan;;gambager;;;;;;;;;;;x
d_gaoua;Gaoua;Gaoua;Gaoua;;Gaoua;;;;;;;;;x
d_gaoua_adj;Gaouan;;ger;;;;;;;;;;;x
d_gola;Gola;Gola;Gola;;Gola;;;;;;;;;x
d_gola_adj;Golan;;goler;;;;;;;;;;;x
d_gourma;Gourma;Gourma;Gourma;;Gourma;;;;;;;;;x
d_gourma_adj;Gourman;;gourmer;;;;;;;;;;;x
d_grand_gedeh;Grand Gedeh;Grand Gedeh;Grand Gedeh;;Grand Gedeh;;;;;;;;;x
d_grand_gedeh_adj;Grand Gedehian;;Grand Gedeher;;;;;;;;;;;x
d_guera;Guéra;Guéra;Guéra;;Guéra;;;;;;;;;x
d_guera_adj;Guérien;;Guérer;;;;;;;;;;;x
d_gulf_line;the Gulf Line;the Gulf Line;the Gulf Line;;the Gulf Line;;;;;;;;;x
d_gulf_line_adj;Gulfman;;gulfer;;;;;;;;;;;x
d_hadjer_lamis;Hadjer-Lamis;Hadjer-Lamis;Hadjer-Lamis;;Hadjer-Lamis;;;;;;;;;x
d_hadjer_lamis_adj;Hadjer-Lamisian;;hadjer-lamiser;;;;;;;;;;;x
